	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00130	-0.139661218864592	0.136605392130702	-0.00382121987497412	0.348371108935994	0.000358222399893552	0.486638673158283	0.144272419510542	0.145574411478899	-0.0407835894169627
K00131	-0.0733959020052372	-0.14408750006556	-0.034035955889227	-0.644421912040693	-0.434625700972401	-0.181818181818182	-0.278081244459415	-0.23740315564385	-9.68931768783523e-16
K00133	0.111126583757859	-0.545250957303188	-0.269283987318276	-0.918297149161397	-2.54581710481318	-0.14408750006556	-0.020217492848768	-0.111126583757859	-0.215270562568868
K00134	-0.17506938091148	0.890648790308521	1.44633514710028	0.305835283225791	1.3352003080858	0.365134407527211	0.408859050778997	4.33525291182346	-0.0785326741217042
K00135	0.467402696219148	0.954305113128444	0.221178127934192	2.04676486792387	1.05836647619724	-0.258887360294081	0.0914210127255095	0.306398925849076	0.521033447559891
K00138	-0.00525292280504336	0.176373682299874	-0.0309455786242468	-0.215018279402389	0.078325273301633	-0.0260158133675028	-0.00207746464852479	-0.0687685474123243	-0.00714253765433881
K00140	0.00281256573371958	-0.0810688243383443	0.289798005693088	0.49504110902858	-0.000417222564534954	0.137279970783781	-0.0255958525830548	0.147215271403153	-0.156181023666437
K00145	0.144087500065559	-0.139089188813754	0	0.0405340821092217	0.070717805292826	0.14408750006556	0	0.14408750006556	0
K00147	0.109842745439853	0.0164156586947112	0.0310033561668241	-0.0109358394288828	0	0.093506286563343	-0.14408750006556	-0.188217211626491	-0.0441297115609311
K00153	0.129933174883488	0.609954614944297	0.412224975138476	0.105632415224952	0.579318994699871	-0.0307575414675583	0.416674575992068	-0.0228671606359967	0.0221750529896446
K00156	-0.822344413622254	0.185224973219878	-1.46120414721217	-0.457270565273162	-0.523616830101066	0.594941799719601	0.151766979971237	-0.0277140528662201	0.0669968721969278
K00158	0.0942296250931921	-0.0128505317495946	-0.0719466707444166	0.00846449130831656	-0.0737241977827257	-0.134449933009003	-0.152551991373876	-0.0723508439290704	-0.129456934773282
K00161	-0.0909090909090909	-0.0909090909090909	-0.10472755394955	-0.195636644858641	-0.228597561166341	-0.0669968721969276	-0.0909090909090909	-0.0909090909090909	0.0909090909090909
K00162	-0.0494836832930736	-0.0335071080169257	-0.0329609163077008	-0.37338697369227	-0.0300782926961246	-0.123495815537498	-0.0531784091564687	-0.11385337833039	-0.0166909034853989
K00163	0	0.14408750006556	0	0.144087500065559	0	0	0	0.144087500065559	0
K00164	-0.141958295158514	0.137738876075989	-0.00351157119629487	0.346917537197032	0.00115476752099139	0.493151355745476	0.143602462180545	0.144877587362291	-0.042901465492188
K00174	0.0167622013765542	-0.756311188375569	-0.668118592628198	-1.82171876176218	-1.59152677729032	-0.000821278897295744	-1.19282817175538	0.180772492803954	-0.512081519735688
K00175	-0.0785027356769028	-0.240523143429415	-0.117593327256977	-0.419254373241158	-0.257091845987581	-0.0905398531182584	-0.112640875432825	-0.0863839633383521	0.0107365933486712
K00176	-0.0769957270695385	-0.0136551026842107	-0.042687416638715	-0.21617167960058	-0.101152614176569	-0.0604956134372795	-0.0529538218729968	-0.083504620540131	0.00770640540059311
