	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
C93.25.T3	1.18903792018445	1.12996043894736	1.2682134861571	1.07119406585196	1.31011780954322	1.21109396027151	1.27301156872446	1.19307759052858	1.17232637662609	1.26242536461051	1.59799975190392
C93.25.T4	0.661439661829196	0.614885508045882	1.5281826589522	1.39133032989024	1.61588139963362	1.56119330581324	1.07152932573142	1.07933755553282	1.04851088805949	1.13315428819522	1.29669733138644
C93.34.T3	1.00145412146653	0.860696786410227	1.35721614280559	1.24598192145045	1.36887401723856	1.36376735430966	1.24540416969148	1.13871267781254	1.20992826211761	1.23652203249634	1.45005762674
C93.34.T4	0.644201964088864	0.513018441119291	1.95555493873536	1.8467439875878	2.11135275759096	2.04098411253201	1.13941127944243	1.28181941117313	1.13538852344134	1.28886475161689	1.3232664809199
C93.34.T5	0.938764653159332	0.928588266227366	1.75671616924375	1.60840979123553	1.91080120045884	1.78888879624578	1.06523958682361	1.20029906306295	1.03454804530302	1.1975398728173	1.35961108066823
C93.345.T1	1.33090957252579	1.1478409600935	2.79190433350619	2.98104980704377	2.82874954724211	2.9422445625504	2.64771388737864	2.52905178634889	2.67694910428462	2.54558627671255	2.22582740159958
C93.345.T2	0.825005783274205	0.871853809116487	2.38882993891949	2.48851127456673	2.49161176504063	2.58032965209964	1.80361109763698	1.79878294162634	1.84319255662221	1.85140857430962	1.55700269344496
C93.35.T3	1.59318200809721	1.39181907783172	2.29840658784752	2.40532848129452	2.38160435665392	2.47946945975736	1.8070956529289	1.78019901658842	1.83258250136364	1.82476444555962	1.56990877885929
C93.35.T4	1.02906523826666	0.98271091838308	2.07313065381654	2.12806721382661	2.17531031234001	2.24484906867526	1.50785913570544	1.50187574598983	1.53395047899701	1.57230508916234	1.38304959893758
C93.35.T5	1.1669609830776	1.41741254970987	1.62732698820442	1.55533843423141	1.71168955245703	1.70955893764691	1.1528929489339	1.14155740302229	1.15441818464726	1.21529856887515	1.27232795531578
C93.44.T3	1.03966663564933	1.00012748416234	1.64183027342593	1.51079906773191	1.75395958446014	1.69409276162483	1.05997440582418	1.10947502972144	1.04022026537893	1.14254306213445	1.2711295363359
C93.44.T4	0.907046884556286	0.811564059788495	2.35827239538437	2.35693331731599	2.49957932098776	2.52947254053405	1.51940631049905	1.60506160251301	1.55863186642973	1.65364921358562	1.44795223336346
C93.44.T5	1.0807137040466	0.909023499949638	2.10820837573079	1.95160378977527	2.30681130534429	2.13517483423942	1.28071864691873	1.51864657157715	1.27216487597448	1.48672261133874	1.67757203826705
C93.445.T2	1.48148339181213	1.6179295498057	1.67170710128918	1.54615645179808	1.78731371742558	1.73120387902874	1.0651554914431	1.11918048053538	1.04818947860087	1.15124968592633	1.26427704124033
C93.45.T3	1.12923253835334	1.11526037222116	1.90446770903445	1.90326808138854	2.01526654034673	2.05197206210265	1.30565643904257	1.31667197227518	1.32887463078963	1.39123843230352	1.28678016291232
C93.45.T4	0.62933925567819	0.585017721459828	1.94054769736539	1.83143120668445	2.09403300654543	2.02614708380316	1.13428792382806	1.27043948367571	1.12878503582694	1.27884367833361	1.31398087983903
C93.45.T5	2.3757546082937	1.98948895700983	1.28529336631388	1.09320245626962	1.18813438337127	1.14954003387555	2.06116788057598	1.84158704349457	1.92376198345052	1.92796544251878	2.40989414799474
C93.I.T1	0.564529630983602	0.503211062336994	3.96264884753656	4.15535713021296	4.02649719044903	4.14030128065881	3.5794887115954	3.53209280937484	3.66316990745903	3.55654674517316	2.99831337077925
C93.I.T2	0.778327394259246	0.687295995369489	2.75421444699005	2.83319220007775	2.89003299082861	2.95621763664793	1.97462394072499	2.03342308839772	2.04516412761628	2.08209748480018	1.71974047264216
C93.I.T3	1.72092487806782	1.60852264246496	2.6015115896436	2.67659834142354	2.73380901441388	2.80141749510633	1.85088396064726	1.89446893265529	1.91197236931605	1.95050241806517	1.61155272157745
