	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T64	mean_md_H_T65	mean_md_H_T54	mean_md_H_T55	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
142262.14341.SAMPLE1526	1.64172636195029	1.70908331900741	1.64882124504462	1.5458994541826	1.58451102630466	1.38725293075442	1.24136817894559	1.31012864877049	1.24374718017076	1.23526145178185	1.31329236071781
142262.14341.SAMPLE1527	0.653281611440678	0.636184243492527	1.1545818938819	1.22998225838754	1.0967391751126	1.16616431891308	1.40257969089069	1.1803248729697	1.26990988089176	1.27073685642223	1.44357368557561
142262.14341.SAMPLE1528	1.4092252914199	1.30633641826832	1.39296255936436	1.34411748813855	1.33675798054346	1.17436880353328	1.16434561912597	1.14071924562212	1.08665991458166	1.10265729139897	1.21858203262898
142262.14341.SAMPLE1529	1.02585284190468	1.09550215996036	1.25858530351798	1.2769684615656	1.16782673846821	1.14835196390565	1.18934103269612	1.05602139567463	1.06975824528129	1.10159459058402	1.21633023144824
142262.14341.SAMPLE1530	2.00108496956078	1.55706925189278	1.58423738149296	1.69582353838202	1.6655640126674	1.83554626708336	2.47588623155421	2.21044061140868	2.31146238106953	2.26214152409092	2.52193516728988
142262.14341.SAMPLE1531	1.32749594310459	1.1051572612601	1.79525204546188	1.80162685218508	1.64861350510507	1.66489549756114	1.14684098838207	1.17595917960516	1.14650996458748	1.23860267885985	1.07808672863512
142262.14341.SAMPLE1532	1.52169790956118	1.47289435665398	1.98768797188855	2.02850796120808	1.83342235348452	1.89715523859722	1.32512767761186	1.33556161445279	1.30830276045003	1.41729419419903	1.20503638560127
142262.14341.SAMPLE1533	1.33555343404185	1.34061094951583	1.15069361740843	1.263191610849	1.16437093113132	1.28085025214328	1.72866415465888	1.46541154142259	1.59679973119409	1.55673010539313	1.79348558365888
142262.14341.SAMPLE1534	1.12203950043573	1.26711815305602	1.31257619794322	1.29350079049863	1.24254668105783	1.14051367045499	1.14681362750641	1.07863153214704	1.04109383123511	1.07030386555122	1.19129637027064
142262.14341.SAMPLE1535	1.00878003067752	0.744665335346833	1.48746045297574	1.52346809948628	1.6100915181516	1.54977309315712	2.2609261584083	2.0548113010608	2.15488549547118	2.07349089718004	2.35412893925523
142262.14341.SAMPLE1536	0.764221599176895	0.762336899330266	1.2734554199419	1.22724156323356	1.24736808293178	1.07483113428022	1.31287742724365	1.24965905089626	1.2297673258114	1.23114063212465	1.42468980084697
142262.14341.SAMPLE1537	1.44681164625578	1.34892844802514	1.23507465932302	1.19316057980037	1.23355415167514	1.06178146531586	1.41543934642755	1.33663981109979	1.35161151281955	1.32735241776828	1.55110341981794
142262.14341.SAMPLE1538	0.921980555577411	0.7639760708629	1.14556876691756	1.20144954707322	1.18300809604989	1.15638206246288	1.70206394332514	1.4810182578237	1.59522156032298	1.53925250099594	1.8038241056127
142262.14341.SAMPLE1539	0.873209629979938	0.787092704616226	1.26219546346847	1.22482653139978	1.30207433285028	1.12276209501796	1.61170598154184	1.50528284679416	1.54877717596801	1.49462403372433	1.7496254884247
142262.14341.SAMPLE1540	0.938815740301813	1.00232167957549	1.53529731355145	1.47360336019301	1.44809707784496	1.31212628108757	1.09931369698681	1.12677350959544	1.07242113325538	1.08644827604656	1.12525414995632
142262.14341.SAMPLE1541	0.879395153292939	0.820925925040768	1.30703512365381	1.36450293612205	1.40689801407833	1.39140388809673	2.05626915416273	1.82880451774352	1.94529886469766	1.87257012555319	2.14730362310488
142262.14341.SAMPLE1542	0.88052706892695	0.70614972453192	1.2231378353353	1.18971205398508	1.23748126473682	1.07247550516735	1.4957637561637	1.39569128957964	1.43134664492223	1.39211958513838	1.63386429526142
142262.14341.SAMPLE1543	0.699732205430746	0.593473456986945	1.38888099661666	1.42023408397654	1.25229049153781	1.3194771579566	1.19024602215037	1.05344926503802	1.07533553980618	1.13939683971372	1.159498434823
142262.14341.SAMPLE1544	0.879161805751115	0.794800088775782	1.36896993548441	1.35299272507552	1.45527843506669	1.30350437928304	1.93032403888497	1.78260548133806	1.8528399012158	1.77555411840471	2.04671733996158
142262.14341.SAMPLE1545	1.18306184115039	1.14641765066839	1.63676176168806	1.6762803300355	1.77079506870006	1.72392733811024	2.45778112196875	2.24826232036928	2.34528946396454	2.26171452623183	2.54678510000739
142262.14341.SAMPLE1546	1.4645658334043	1.42591508583302	1.4289483242397	1.44115515352655	1.53682814389337	1.42443037342905	2.10945373703075	1.92981691246002	2.01790528570139	1.93631950161844	2.21230840605212
142262.14341.SAMPLE1547	0.774184466252748	0.684603780319039	1.13314522427034	1.20135210688743	1.16008804093556	1.16841833745843	1.68856888718416	1.45265296967466	1.57503279000551	1.52341750182184	1.7833174646707
142262.14341.SAMPLE1548	1.15455680340224	1.0260317898306	1.11852742717561	1.20988116828308	1.11407990941726	1.18285060125115	1.60078291060229	1.35169153346048	1.47623087758271	1.43996690371693	1.67560959044759
